Jobs containing 3MINDIA.NS:
('f5823574511949b7b592e3568411a62f', 'full_scan', '2026-02-10 17:01:20.960359')
('03c88d20ed684f05bfe70f693f08f5dc', 'full_scan', '2026-02-11 08:50:36.139160')
('060dc9d41568413f9027505abd8a388f', 'full_scan', '2026-02-11 10:12:55.468672')
('31dcc847e0184c51a61710960a9910b8', 'full_scan', '2026-02-11 12:04:11.444161')
('c931602984ea4b49929720cd267edb43', 'full_scan', '2026-02-11 12:43:21.380516')
('7f9c58bef2734b62a039c81047f3134c', 'full_scan', '2026-02-12 02:53:29.287516')
('2018f0612c4d492d8ac9b83f8eaf8ae3', 'full_scan', '2026-02-12 03:09:05.255040')
('89c0709ac83345fe89c9fc6003008a57', 'full_scan', '2026-02-12 03:17:16.127008')
('bd18f13ca90d436193fd21388167dd4e', 'full_scan', '2026-02-12 03:48:33.495497')
('1495f6f56e8742f79e70dd9209b3dd64', 'full_scan', '2026-02-12 04:41:42.952749')
('ffc6520eb245446e901d919f52b4705b', 'full_scan', '2026-02-12 06:40:56.375391')
('b0bb3ecc294f40139b68ca99a92ace1e', 'full_scan', '2026-02-13 10:30:30.290295')
('1d05fbdfa05741e2a4d84ebaddfa2aeb', 'full_scan', '2026-02-13 11:33:34.344289')
('af0be1237ba045c48418983121f15ba5', 'full_scan', '2026-02-13 12:57:53.832381')
('0ef421501c7b42ceb6e7fcbdb935e895', 'full_scan', '2026-02-13 13:05:10.708176')
('da331ffa762f4c109c6cd1d24d7ff5ad', 'full_scan', '2026-02-13 13:11:48.667939')
('61f06e7047884591b47b9dcd9b03f5f7', 'intraday', '2026-02-14 02:42:50.608441')
('8561a636d1fe44cab01f3a03b91797d2', 'intraday', '2026-02-14 03:10:32.843300')
('fe1fefa1ce19472585d268ab93b2390e', 'full_scan', '2026-02-14 03:45:48.348560')
('062bc92563804848b1e853881d552a6c', 'intraday', '2026-02-14 05:37:49.209675')
('452e653d80814571b1c42ee570568649', 'intraday', '2026-02-14 06:04:54.391651')
('b5c4489e25654839bdc29cf8d8120b3f', 'full_scan', '2026-02-14 05:51:46.535646')
('6ec42efc8b7d4c93b4ee817568acc43d', 'full_scan', '2026-02-14 07:02:43.948160')
('bc3ae19f203d4a16b4a85c465f1ca8c9', 'intraday', '2026-02-14 07:08:31.042752')
('aed81e247edc41879edda0e59be15560', 'intraday', '2026-02-15 14:15:52.627642')
('59641a379ccd408a928a7e2da3e16b21', 'full_scan', '2026-02-16 04:12:11.524542')
('e2da1cf1f4554a65b7d0b0517f07351c', 'full_scan', '2026-02-16 11:57:20.249685')
('be5c4b6df9804db29563ce2c90c35881', 'intraday', '2026-02-21 16:54:53.267831')
('318c6ef9121d45dbabd9ad32420a34e0', 'intraday', '2026-02-22 05:21:06.258373')
('5dc3dfd7673c4a94926e922a25fe4f38', 'intraday', '2026-02-22 05:46:21.855342')
('98fecf2bbd3741baab1f01592145574e', 'intraday', '2026-02-22 06:11:27.180927')
('c0e62f11549c4c7ca5443a20d176fd82', 'intraday', '2026-02-22 07:05:06.033783')
('cd5c31f664cc488bb78dc5defdfe72ec', 'intraday', '2026-02-22 10:06:36.661585')
('e3b9cef52afe46aba6ca002d12dff4dd', 'intraday', '2026-02-26 04:56:48.764285')
('976e903246e6413fb59d5baed1e17e07', 'intraday', '2026-02-26 05:11:27.931449')
('97371960f17e41f9a9fb871b59b92d5d', 'full_scan', '2026-02-26 13:59:25.079559')
('ee7e0fa2a59a4385a2330a5c0333e4c9', 'intraday', '2026-02-26 14:44:25.447091')
('0a3a03ba20f04064adcbc7008a603ce0', 'swing_scan', '2026-02-26 17:27:10.408356')
('9ae57933cca244408a26a88d673f3357', 'intraday', '2026-02-26 17:25:47.796740')
('4ba88cb8c60a4f268fe5d1884bf9b1b0', 'swing_scan', '2026-02-26 17:40:29.519485')
('0934fc0c976e47c1bc76edd617e87b87', 'intraday', '2026-02-27 03:03:17.690881')
('30bd465850af4bc891e5ab69a9f8410f', 'intraday', '2026-02-27 03:46:06.723701')
('329847d014a24aa284aeb6591d157d55', 'intraday', '2026-02-27 03:55:37.237569')
('335691b16642448b9adb8da1127a8d27', 'intraday', '2026-02-27 04:10:19.558936')
('3fbf6566a2c34ae89008248d8fa23821', 'intraday', '2026-02-27 04:13:34.253841')
('f98cb001692c4922816529c26a07e324', 'intraday', '2026-02-27 04:23:14.789424')
('1482eedd0299447dabaae8d07747a694', 'intraday', '2026-02-27 04:50:48.444551')
('0c256f4c54bc4ddea63ee24b95d93434', 'intraday', '2026-02-27 05:24:40.921549')
('7085d64e56394434b9a0119b8f34c1fb', 'intraday', '2026-02-27 08:49:25.673014')
('22007822475c469ca177b446fd603736', 'intraday', '2026-02-27 08:53:34.972896')
('c479892b126b4523bc8ba6dbf7a55ff8', 'intraday', '2026-02-27 16:12:41.131083')
('7496bcd30ca54174a34868ca1262f32c', 'swing_scan', '2026-02-27 16:41:04.913592')
('eb0a18f0d3ff433c87f1c3ec9d7bc09d', 'swing_scan', '2026-02-27 16:53:34.793965')
('007f6ab1b0d14ff5a0166501ba04cae4', 'swing_scan', '2026-02-27 17:03:18.569144')
('785e9770282f44edb8143777c26e1052', 'swing_scan', '2026-02-27 17:14:16.333713')
('79a6a305e302463aa701143fa56a3e43', 'swing_scan', '2026-02-27 17:24:16.220339')
('cbaabbae3616497cb71c72b271e3febb', 'intraday', '2026-02-27 17:42:12.819320')
('7b344d28006b4270ae90a4c6846b1c22', 'swing_scan', '2026-02-27 17:44:16.530857')
('a62dc826d9b5424995a20cf85f8b85bf', 'swing_scan', '2026-02-28 06:41:28.028703')
('bbec991071784346853a14af86a9d503', 'intraday', '2026-02-28 07:01:31.979303')
('035c299d70dd494aab2898fc6f5932aa', 'swing_scan', '2026-02-28 08:17:33.051896')
('2ea72dce3e424b16b7e7b116488c9ca6', 'intraday', '2026-02-28 15:16:19.576188')
('583bfe84d1614192b7e4730db55efb39', 'swing_scan', '2026-02-28 15:29:34.059733')
('d5c54d568ff84ef199b474bd2684ffc6', 'swing_scan', '2026-02-28 15:32:27.472087')
('5b49d8d517c24705b8b437adf4962bdc', 'swing_scan', '2026-02-28 15:38:05.172953')
('93716dc0e8b94412a9c3886c8c14b5cb', 'swing_scan', '2026-02-28 15:46:59.525776')
('67ffedb8195e4b98a37ffbfd1a005bd3', 'swing_scan', '2026-02-28 15:53:53.483126')
